Name,Type,MotherName,FatherName,Sex,Gender,Sensory Radius,Move Speed,Hunger Speed,Thirst Speed,Grow Speed,Hunger Level,Thirst Level,Pregnancy,Diet,
a0,Herbivore,,,Female,0.24,97.82999,17.98,2.92,2.3,2.62,0.43,0.37,0.55,0.15,
a1,Herbivore,,,Female,0.49,71.65,49.24,2.16,1.39,1.86,0.49,0.65,1.78,0.32,
a2,Herbivore,,,Female,0.32,55.95,28.15,1,1.74,1.92,0.29,0.7,1.27,0.18,
a3,Herbivore,,,Male,0.78,97.88,21.4,1.02,1.61,2.95,0.68,0.55,1.73,0.11,
a4,Herbivore,,,Male,0.52,94.54,35.13,2.63,1.21,2.06,0.66,0.18,1.55,0.09999999,
a5,Herbivore,,,Female,0,63.16,18.86,1.08,1.88,2.03,0.63,0.58,1.16,0.28,
a6,Herbivore,,,Male,0.82,53.79,16.11,1.08,1.05,1.86,0.13,0.44,1.93,0.19,
a7,Herbivore,,,Female,0.04,40.07,11.22,2.04,1.75,0.55,0.47,0.42,1.45,0.03,
a8,Herbivore,,,Female,0.28,12.6,29.88,2.31,1.27,1.53,0.49,0.45,1.29,0.27,
a9,Herbivore,,,Male,0.7,95.24,18.04,2.25,2.49,2.03,0.56,0.41,1.21,0.06,
a10,Herbivore,,,Female,0.17,72.83,45.85,1.41,2.45,1.55,0.51,0.18,1.57,0.08,
a11,Herbivore,,,Female,0.12,89.78,24.66,1.62,2.04,1.01,0.12,0.45,1.33,0.12,
a12,Herbivore,,,Male,0.69,29.12,6.24,1.55,1.19,1.24,0.47,0.43,1.23,0.24,
a13,Herbivore,,,Male,0.65,82.85,38.52,1.53,2.14,2.23,0.39,0.68,0.61,0.03,
a14,Herbivore,,,Male,0.88,27.07,28.59,2.3,2.07,1.49,0.24,0.46,1.58,0.05,
a15,Herbivore,,,Female,0.37,70.2,12.53,2.21,2.37,1.49,0.31,0.19,0.67,0.07,
a16,Herbivore,,,Female,0.03,90.66,30.43,2.4,1.06,1.84,0.32,0.44,1.89,0.32,
a17,Herbivore,,,Male,0.66,99.79,49.23,2.87,2.71,0.88,0.52,0.14,0.5,0.15,
a18,Herbivore,,,Male,0.88,91.96,41.74,1.91,1.95,1.75,0.41,0.15,1.91,0.03,
a19,Herbivore,,,Female,0.41,15.36,19.64,1.54,1.39,2.84,0.22,0.36,1.25,0.04,
