Name,Sex,Sex Gene,Sensory Radius,Move Speed,Hunger Speed,Thirst Speed,Grow Speed,Hunger Level,Thirst Level,Pregnancy
C6,Male,0.92,28.48,73.39,2.67,2.69,2.88,0.56,0.24,1.84
C2,Male,0.89,64.07,13.92,2.44,2.66,2.69,0.46,0.11,1.93
C5,Female,0.36,28.05,80.43999,2.57,1.38,1.85,0.33,0.67,0.7
C0|C2,Male,0.89,64.07,13.92,2.44,2.66,2.69,0.46,0.11,1.93
C7,Male,0.8,80.33,37.06,1.46,2.75,1.7,0.3,0.33,0.67
C3,Female,0.13,38.55,55.88,2.57,2.02,1.95,0.67,0.29,1.83
C3|C1|C9|C9,Female,0.13,38.55,55.88,2.57,2.02,1.95,0.67,0.29,1.83
C8,Male,0.54,11.87,66.85,1.29,1.4,1.3,0.66,0.43,1.21
C4,Male,0.95,15.47,26.87,2.27,1.53,0.52,0.37,0.09999999,1.2
C3|C2|C7,Female,0.13,38.55,55.88,2.57,2.02,1.95,0.67,0.29,1.83
C3|C1|C9,Female,0.13,38.55,55.88,2.57,2.02,1.95,0.67,0.29,1.83
C3|C2,Female,0.13,38.55,55.88,2.57,2.02,1.95,0.67,0.29,1.83
C3|C4,Male,0.95,15.47,26.87,2.27,1.53,0.52,0.37,0.09999999,1.2
C1|C9,Male,0.54,46,55.32,2.49,1.37,2.41,0.27,0.59,0.79
C0|C1|C9,Male,0.54,46,55.32,2.49,1.37,2.41,0.27,0.59,0.79
C1|C1|C9,Male,0.54,46,55.32,2.49,1.37,2.41,0.27,0.59,0.79
C0|C9,Male,0.54,46,55.32,2.49,1.37,2.41,0.27,0.59,0.79
C0,Female,0.11,96.81,62.65,2.16,2.86,2.13,0.3,0.64,1.42
C1|C9,Male,0.54,46,55.32,2.49,1.37,2.41,0.27,0.59,0.79
C1|C9,Male,0.54,46,55.32,2.49,1.37,2.41,0.27,0.59,0.79
C1|C1|C9,Female,0.2,82.86,91.54,2.21,1.76,1.47,0.55,0.65,0.74
C1|C1|C9|C1|C9|C9,Male,0.54,46,55.32,2.49,1.37,2.41,0.27,0.59,0.79
C1|C0|C1|C9|C1|C9|C9|C9,Female,0.2,82.86,91.54,2.21,1.76,1.47,0.55,0.65,0.74
C1|C0|C1|C9|C9,Female,0.2,82.86,91.54,2.21,1.76,1.47,0.55,0.65,0.74
C1|C0|C1|C9|C1|C9,Male,0.54,46,55.32,2.49,1.37,2.41,0.27,0.59,0.79
