Name,Type,S,G,S R,M S,H S,T S,G S,H L,T L,P,Diet
a0,Herbivore,Male,0.59,32.29,26.32,2.13,2.14,1.28,0.59,0.47,1.02,0.09
a1,Herbivore,Female,0.03,86.58,34.65,2.31,2.74,1.57,0.32,0.25,1.18,0.11
a2,Herbivore,Male,0.83,21.13,30.59,2.02,2.57,1.59,0.69,0.22,0.88,0
a3,Herbivore,Male,0.85,90.03,35.15,2.22,2.1,1.48,0.52,0.12,1.7,0.32
a4,Herbivore,Male,0.92,32.45,29.86,2.92,2.51,1.02,0.64,0.25,1.12,0.24
a5,Herbivore,Male,0.9,49.98,34.32,1.33,1.29,1.88,0.37,0.67,1.18,0.13
a6,Herbivore,Female,0.42,78.59,27.39,1.2,1.19,2.23,0.36,0.53,1.58,0.07
a7,Herbivore,Male,0.85,37.84,35.12,1.11,1.17,0.52,0.37,0.21,1.13,0.03
a8,Herbivore,Female,0.02,93.04,16.19,1.62,2.59,2.74,0.19,0.27,1.69,0.27
a9,Herbivore,Male,0.84,37.09,33.08,1.47,2.22,0.74,0.25,0.43,1.6,0.26
a10,Herbivore,Male,0.98,63.21,17.28,1.66,1.75,0.95,0.66,0.23,0.96,0.01
a11,Herbivore,Male,0.66,42.14,48.57,1.69,1.16,2.45,0.6,0.13,0.88,0.15
a12,Herbivore,Male,0.71,27.03,34.81,1.02,2.58,0.65,0.45,0.23,0.78,0.02
a13,Herbivore,Female,0.46,15.12,10.91,1.45,2.36,1.41,0.54,0.67,0.86,0.21
a14,Herbivore,Male,0.96,67.22,20.38,2.44,2.95,2.51,0.55,0.63,0.54,0.32
a15,Herbivore,Female,0.48,53.14,14.31,2.55,1.14,2.99,0.24,0.65,1.89,0.01
a16,Herbivore,Female,0.08,38.4,9.16,2.34,1.54,1.87,0.22,0.46,0.85,0.26
a17,Herbivore,Female,0,43.63,13.37,2.12,2.62,2.77,0.32,0.19,1.9,0.26
a18,Herbivore,Female,0.04,92.77,6.3,1.91,1.73,2.2,0.14,0.33,1,0.23
a19,Herbivore,Female,0.17,60.48,41.43,2.94,2.57,2.96,0.57,0.5,1.14,0.24
a20,Herbivore,Male,0.76,11.8,22.43,2.5,2.3,2.38,0.7,0.29,0.97,0.31
a21,Herbivore,Female,0.39,55.98,41.11,2.99,2.01,1.55,0.32,0.34,1.58,0.23
a22,Herbivore,Female,0.33,27.31,28.93,2.09,2.11,2.76,0.63,0.68,0.78,0.18
a23,Herbivore,Male,0.73,15.77,10.84,1.82,2.47,2.23,0.24,0.12,1.7,0.13
a24,Herbivore,Male,0.62,23.45,9.55,1.64,2.6,2.02,0.53,0.33,1.07,0.08
a25,Herbivore,Male,0.65,91.13,29.23,2.97,1.84,2.13,0.45,0.12,1.43,0.03
a26,Herbivore,Female,0.2,70.03,49.18,1.59,1.76,2.75,0.56,0.54,1.55,0.08
a27,Herbivore,Female,0.01,87.74,46.3,2.34,1.79,1.71,0.25,0.57,1.08,0.12
a28,Herbivore,Female,0.3,96.48,41.74,2.71,1.99,0.71,0.4,0.19,1.73,0.15
