Name,Type,MotherName,FatherName,Sex,Gender,Sensory Radius,Move Speed,Hunger Speed,Thirst Speed,Grow Speed,Hunger Level,Thirst Level,Pregnancy,Diet,
a0,Herbivore,,,Male,0.52,80.92,37.71,2.82,1.03,1.44,0.2,0.3,1.89,0.21,
a1,Herbivore,,,Female,0.33,78.41,21.06,2.58,1.8,0.96,0.43,0.44,0.75,0.07,
a2,Herbivore,,,Male,0.51,29.43,32.34,2.82,1.67,1.56,0.17,0.69,1.9,0.16,
a3,Herbivore,,,Male,0.9899999,75.96,46.7,2.18,2.78,2.51,0.6,0.67,1.1,0.29,
a4,Herbivore,,,Male,0.52,99.48,18.32,1.88,1.33,1.49,0.33,0.56,1.12,0.09,
a5,Herbivore,,,Male,0.65,87.00999,26.51,1.36,2.89,2.7,0.35,0.11,0.64,0.3,
a6,Herbivore,,,Male,0.61,12.93,13.01,1.2,1.58,2.6,0.64,0.27,1.55,0.32,
a7,Herbivore,,,Male,0.98,41.1,40.16,2.55,2.47,1.75,0.11,0.19,0.67,0.11,
a8,Herbivore,,,Female,0.04,87.57,25.71,2.84,1.84,2.67,0.25,0.17,1.07,0.17,
a9,Herbivore,,,Female,0.37,92.65,13.82,2.39,1.94,1.33,0.31,0.21,1.7,0.31,
a10,Herbivore,,,Female,0.09,47.61,6.6,2.13,2.04,2.47,0.41,0.2,1.7,0.23,
a11,Herbivore,,,Male,0.82,31.26,6.31,1.28,1.92,1.11,0.11,0.18,0.88,0.07,
a12,Herbivore,,,Male,0.8,75.78,44.09,2.64,1.08,1.26,0.65,0.56,1.06,0.3,
a13,Herbivore,,,Female,0.14,44.26,16.97,1.09,1.2,2.6,0.53,0.29,0.87,0.18,
a14,Herbivore,,,Male,0.97,61.37,45.78,1.19,2.09,2.05,0.4,0.36,1.27,0.05,
a15,Herbivore,,,Female,0.47,85.35,43.6,1.28,1.92,1.1,0.65,0.34,0.75,0.26,
a16,Herbivore,,,Female,0.47,76.98,20.61,1.65,2.95,2.38,0.44,0.69,0.54,0.15,
a17,Herbivore,,,Male,0.61,41.09,25.89,2.5,2.1,0.79,0.4,0.44,0.82,0.26,
a18,Herbivore,,,Female,0.39,80.05,20.05,1.59,2.61,2.31,0.67,0.57,1.96,0.16,
a19,Herbivore,,,Female,0.24,56.49,35.29,1.81,2.63,2.74,0.13,0.49,0.93,0.09999999,
Creature 1(Clone),Carnivore,,,Male,0.87,94.5,9.29,1.45,2.47,0.69,0.42,0.56,1.51,0.37,
Creature 1(Clone),Carnivore,,,Male,0.65,65.3,31.41,1.38,2.64,1.18,0.54,0.42,0.83,0.36,
Creature 1(Clone),Carnivore,,,Female,0.24,69.79,32.27,1.09,2.87,0.87,0.67,0.49,1.16,0.45,
Creature 1(Clone),Carnivore,,,Male,0.95,47.33,21.15,2.19,1.37,1.11,0.27,0.64,1.82,0.52,
Creature 1(Clone),Carnivore,,,Female,0.31,29.9,6.81,1.92,2.02,0.78,0.51,0.65,0.92,0.37,
Creature 1(Clone),Carnivore,,,Male,0.9899999,39.78,35.37,2.98,1.58,1.05,0.67,0.61,0.92,0.56,
Creature 1(Clone),Carnivore,,,Female,0.16,76.88,14.21,1.42,2.05,1.43,0.57,0.53,0.71,0.49,
