Name,Type,MotherName,FatherName,Sex,,Redze,?trums,Izsalkuma l?menis,Sl?pju l?menis,,Izsalkuma slieksnis,Sl?pju slieksnis
a0,Herbivore,,,Male,,57.9,32.29,2.56,2.39,,0.41,0.18
a1,Herbivore,,,Male,,57.99,27.03,2.03,2.22,,0.41,0.58
a10,Herbivore,,,Female,,58.4,49.47,2.21,2.07,,0.11,0.38
a11,Herbivore,,,Female,,51.36,15.48,2.65,2.8,,0.22,0.17
a12,Herbivore,,,Female,,92.81,35.04,2.46,1.74,,0.58,0.48
a13,Herbivore,,,Female,,69.98,49.44,2.15,1.48,,0.44,0.33
a14,Herbivore,,,Male,,12.48,15.69,2.02,2.52,,0.62,0.52
a15,Herbivore,,,Male,,35.91,23.12,2.57,2.14,,0.37,0.22
a16,Herbivore,,,Female,,83.52,13.61,2.24,2.99,,0.22,0.54
a17,Herbivore,,,Male,,21.81,31.42,2.67,1.54,,0.11,0.43
a18,Herbivore,,,Female,,21.15,19.09,1.38,2.54,,0.56,0.25
a19,Herbivore,,,Female,,57.94,21.32,1.09,1.12,,0.11,0.25
a2,Herbivore,,,Male,,97.79,10.97,2.05,2.64,,0.62,0.29
a20,Herbivore,,,Female,,84.41,20.32,1.86,1.8,,0.11,0.47
a21,Herbivore,,,Male,,79.79,39.34,1.75,1.58,,0.44,0.18
a22,Herbivore,,,Female,,48.17,11,1.48,1.19,,0.5,0.24
a23,Herbivore,,,Female,,32.6,35.81,1.02,1.76,,0.51,0.32
a24,Herbivore,,,Male,,15.37,30.97,1.23,1.68,,0.58,0.18
a25,Herbivore,,,Female,,52.14,9.45,2.22,1.94,,0.15,0.32
a26,Herbivore,,,Female,,48.52,34.57,2.66,1.65,,0.68,0.44
a27,Herbivore,,,Male,,55.78,10.27,1.75,1.98,,0.15,0.2
a28,Herbivore,,,Female,,27.96,17.25,2.09,2.43,,0.18,0.54
a29,Herbivore,,,Male,,73.95,30.49,1.48,1.9,,0.37,0.65
a3,Herbivore,,,Male,,89.8,38.65,1.68,1.72,,0.16,0.45
a30,Herbivore,,,Male,,32.08,11.48,2.32,1.08,,0.36,0.29
