Name,Type,S,G,S R,M S,H S,T S,G S,H L,T L,P,Diet
a0,Herbivore,Female,0,27.7,18.29,1.18,2.9,1.14,0.53,0.25,1.66,0.23
a1,Herbivore,Female,0.24,12.36,33.19,2.85,1,2.04,0.43,0.54,1.56,0.03
a2,Herbivore,Male,0.78,25.46,22.83,2.26,2.8,2.26,0.16,0.11,0.91,0.13
a3,Herbivore,Male,0.93,93.73,8.23,1.05,1.46,0.62,0.29,0.12,0.86,0.06
a4,Herbivore,Female,0.09,67.73,9.3,2.77,2.56,0.97,0.65,0.39,0.58,0.05
a5,Herbivore,Male,0.61,35.1,47.97,2.77,2.74,2.25,0.31,0.55,1.03,0.04
a6,Herbivore,Male,0.82,25.46,12.54,2.25,1.08,1.35,0.17,0.48,1.21,0.19
a7,Herbivore,Female,0.36,99.5,45.18,1.45,2.66,2.73,0.34,0.67,0.69,0.27
a8,Herbivore,Female,0.33,78.03,23.26,1.63,1.81,2.59,0.68,0.55,0.51,0.04
a9,Herbivore,Male,0.52,85.09,16.26,1.72,2.58,3,0.44,0.51,1.27,0.3
a10,Herbivore,Male,0.72,57.84,8.47,2.59,2.16,1.66,0.29,0.28,1.02,0.04
a11,Herbivore,Male,0.65,24.75,39.49,2.98,2.62,1.08,0.11,0.31,0.71,0.33
a12,Herbivore,Female,0.33,25.63,30.59,1.34,1.03,1.72,0.37,0.39,1.73,0.28
a13,Herbivore,Male,0.6,34.33,23.15,2.58,1.62,0.75,0.26,0.17,1.16,0.01
a14,Herbivore,Female,0.4,68,47.06,1.49,2.8,2.42,0.4,0.55,0.85,0.3
a15,Herbivore,Female,0.39,69.48,36.78,2.67,2.66,2.28,0.2,0.45,1.99,0.14
a16,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.45,0.2,0.71,0.03
a17,Herbivore,Male,0.53,14.01,48.32,2.06,2.01,1.21,0.35,0.21,1.55,0.04
a18,Herbivore,Male,0.77,48.26,47.18,2.23,2.78,1.88,0.18,0.38,1.99,0.27
a19,Herbivore,Female,0.44,39.26,35.44,1.13,1.54,1.49,0.63,0.09999999,1.81,0.16
a20,Herbivore,Female,0.25,31.62,39.69,2.94,1.77,2.4,0.36,0.7,0.97,0.04
a21,Herbivore,Male,0.88,19.57,9.73,2.94,1.91,1.62,0.42,0.63,0.51,0.27
a22,Herbivore,Male,0.51,16.62,31.46,1.79,2.99,1.23,0.13,0.66,1.66,0.16
a23,Herbivore,Female,0.15,76.32,20.87,1.29,1.29,1.69,0.11,0.18,1.31,0.09999999
a24,Herbivore,Female,0.26,82.4,34.44,1.1,1.11,1.12,0.6,0.17,1.16,0.27
a25,Herbivore,Female,0.11,28.93,22.63,2.15,1.66,2.15,0.23,0.56,1.23,0.29
a26,Herbivore,Male,0.56,41.56,10.25,1.11,2.35,1.25,0.45,0.23,1.68,0.24
a27,Herbivore,Male,0.97,48.74,29.38,1.99,1.53,1.16,0.68,0.17,1.74,0.19
a28,Herbivore,Female,0.15,43.06,10.66,2.83,1.18,0.84,0.52,0.38,1.08,0.14
a29,Herbivore,Male,0.61,83.79,18.49,1.88,1.31,0.74,0.59,0.18,0.66,0.22
a30,Herbivore,Male,0.56,18.62,22.91,2.62,1.91,2.42,0.39,0.23,0.84,0.31
a31,Herbivore,Male,0.89,31.64,48.08,2.05,1.98,1.14,0.43,0.56,1.72,0.25
a32,Herbivore,Female,0.03,93.68,7.43,2.19,2.55,2.13,0.17,0.67,1.37,0.28
a33,Herbivore,Female,0.38,13.74,42.99,2.47,1.2,1.23,0.62,0.34,1.57,0.04
a34,Herbivore,Male,0.77,98.65,21.44,2.37,1.32,0.9,0.33,0.17,0.51,0.21
a35,Herbivore,Male,0.58,66.77,19.72,1.32,2.39,2.29,0.46,0.65,1.84,0.3
a36,Herbivore,Female,0.48,11.45,31.38,2.56,2.65,0.84,0.28,0.27,1.94,0
a37,Herbivore,Male,0.69,78.81,24.52,1.76,2.4,2.56,0.37,0.25,1.98,0.08
a38,Herbivore,Female,0.35,48.42,29.18,2.41,2.52,2.37,0.58,0.56,1.69,0.21
a39,Herbivore,Female,0.11,77.9,22.29,1.6,1.73,1.67,0.53,0.66,1.46,0.01
a40,Herbivore,Female,0.13,55.96,37.67,1.53,1.03,0.65,0.6,0.56,0.52,0.16
a41,Herbivore,Female,0.29,45.53,6.98,1.38,2.05,1.81,0.13,0.33,1.3,0.31
a42,Herbivore,Female,0.31,15.41,31.25,2.7,1.76,2.74,0.49,0.15,1.67,0.27
a43,Herbivore,Female,0.4,25.06,15.19,2.75,2.53,2.88,0.49,0.42,1.9,0.09999999
a44,Herbivore,Female,0.4,26.08,6.33,1.91,1.08,1.28,0.59,0.46,1.02,0.14
