Time,SumPopulation,HerbPopulation,CarnPopulation,OmniPopulation,FPS
0,10,10,0,0,119
1,10,10,0,0,122
2,10,10,0,0,178
3,10,10,0,0,172
4,10,10,0,0,168
5,10,10,0,0,181
6,10,10,0,0,119
7,10,10,0,0,124
8,10,10,0,0,174
9,11,11,0,0,174
10,11,11,0,0,163
11,12,12,0,0,172
12,12,12,0,0,174
13,12,12,0,0,164
14,12,12,0,0,172
15,11,11,0,0,185
16,11,11,0,0,177
17,11,11,0,0,178
18,11,11,0,0,166
19,11,11,0,0,172
20,11,11,0,0,169
21,11,11,0,0,166
22,11,11,0,0,183
23,11,11,0,0,172
24,11,11,0,0,181
25,11,11,0,0,169
26,11,11,0,0,165
27,11,11,0,0,175
28,11,11,0,0,180
29,11,11,0,0,180
30,11,11,0,0,161
31,11,11,0,0,183
32,11,11,0,0,183
33,11,11,0,0,117
34,11,11,0,0,121
35,10,10,0,0,167
36,10,10,0,0,179
37,10,10,0,0,167
38,9,9,0,0,185
39,8,8,0,0,189
40,8,8,0,0,122
41,8,8,0,0,125
42,8,8,0,0,125
43,8,8,0,0,124
44,8,8,0,0,131
45,7,7,0,0,120
46,7,7,0,0,204
47,7,7,0,0,198
48,7,7,0,0,203
49,7,7,0,0,198
50,7,7,0,0,198
51,7,7,0,0,188
52,7,7,0,0,203
53,7,7,0,0,190
54,7,7,0,0,186
55,7,7,0,0,198
56,7,7,0,0,192
57,7,7,0,0,200
58,7,7,0,0,202
59,7,7,0,0,183
60,7,7,0,0,193
61,7,7,0,0,206
62,7,7,0,0,182
63,7,7,0,0,193
64,7,7,0,0,195
65,7,7,0,0,201
66,7,7,0,0,193
67,7,7,0,0,200
68,6,6,0,0,200
69,6,6,0,0,180
70,6,6,0,0,191
71,6,6,0,0,208
72,6,6,0,0,196
73,6,6,0,0,185
74,6,6,0,0,204
75,6,6,0,0,203
76,6,6,0,0,199
77,6,6,0,0,199
78,6,6,0,0,184
79,6,6,0,0,200
80,6,6,0,0,193
81,6,6,0,0,195
82,6,6,0,0,207
83,6,6,0,0,52
84,6,6,0,0,188
85,6,6,0,0,201
86,6,6,0,0,192
87,6,6,0,0,191
88,6,6,0,0,204
89,7,7,0,0,181
90,6,6,0,0,183
91,6,6,0,0,193
92,6,6,0,0,202
93,5,5,0,0,207
94,5,5,0,0,179
95,5,5,0,0,207
96,4,4,0,0,188
97,4,4,0,0,185
98,4,4,0,0,140
99,4,4,0,0,120
100,4,4,0,0,123
101,4,4,0,0,132
102,4,4,0,0,218
103,4,4,0,0,127
104,4,4,0,0,169
105,4,4,0,0,122
106,4,4,0,0,185
107,4,4,0,0,182
108,4,4,0,0,138
109,3,3,0,0,132
110,3,3,0,0,194
111,3,3,0,0,225
112,3,3,0,0,112
113,3,3,0,0,138
114,3,3,0,0,124
115,3,3,0,0,191
116,3,3,0,0,139
117,3,3,0,0,175
118,3,3,0,0,203
119,3,3,0,0,129
120,3,3,0,0,119
121,3,3,0,0,139
122,3,3,0,0,130
123,3,3,0,0,133
124,3,3,0,0,136
125,3,3,0,0,127
126,3,3,0,0,119
127,3,3,0,0,140
128,3,3,0,0,123
129,3,3,0,0,132
130,3,3,0,0,220
131,3,3,0,0,188
132,3,3,0,0,133
133,3,3,0,0,189
134,3,3,0,0,197
135,3,3,0,0,125
136,3,3,0,0,172
137,3,3,0,0,163
138,3,3,0,0,215
139,3,3,0,0,167
140,3,3,0,0,178
141,3,3,0,0,124
142,3,3,0,0,173
143,3,3,0,0,188
144,3,3,0,0,128
145,3,3,0,0,185
146,3,3,0,0,221
147,3,3,0,0,164
148,3,3,0,0,126
149,3,3,0,0,122
150,3,3,0,0,140
151,3,3,0,0,139
152,3,3,0,0,200
153,3,3,0,0,145
154,3,3,0,0,192
155,3,3,0,0,113
156,3,3,0,0,120
157,2,2,0,0,217
158,2,2,0,0,203
159,2,2,0,0,196
160,2,2,0,0,128
161,2,2,0,0,205
162,2,2,0,0,196
163,2,2,0,0,138
164,2,2,0,0,129
165,2,2,0,0,145
166,2,2,0,0,113
167,2,2,0,0,120
168,2,2,0,0,178
169,2,2,0,0,181
170,2,2,0,0,199
171,2,2,0,0,142
172,2,2,0,0,131
173,2,2,0,0,118
174,2,2,0,0,194
175,2,2,0,0,217
176,2,2,0,0,142
177,2,2,0,0,58
178,2,2,0,0,141
179,2,2,0,0,143
180,2,2,0,0,125
181,2,2,0,0,86
182,2,2,0,0,219
183,2,2,0,0,204
184,2,2,0,0,169
185,2,2,0,0,161
186,2,2,0,0,117
187,2,2,0,0,123
188,2,2,0,0,132
189,2,2,0,0,122
