Time,Pirm? konfigur?cija ,HerbPopulation,CarnPopulation,OmniPopulation,FPS
0,100,100,0,0,14
1,100,100,0,0,14
2,100,100,0,0,14
3,100,100,0,0,14
4,100,100,0,0,14
5,100,100,0,0,14
6,100,100,0,0,14
7,100,100,0,0,14
8,100,100,0,0,14
9,102,102,0,0,13
10,104,104,0,0,14
11,104,104,0,0,8
12,110,110,0,0,9
13,111,111,0,0,14
14,114,114,0,0,13
15,116,116,0,0,13
16,118,118,0,0,13
17,122,122,0,0,13
18,126,126,0,0,12
19,128,128,0,0,13
20,132,132,0,0,13
21,140,140,0,0,11
22,144,144,0,0,12
23,145,145,0,0,12
24,146,146,0,0,12
25,147,147,0,0,12
26,147,147,0,0,12
27,148,148,0,0,12
28,149,149,0,0,12
29,149,149,0,0,12
30,151,151,0,0,12
31,151,151,0,0,12
32,152,152,0,0,12
33,152,152,0,0,9
34,151,151,0,0,9
35,151,151,0,0,10
36,149,149,0,0,11
37,148,148,0,0,11
38,146,146,0,0,8
39,146,146,0,0,10
40,145,145,0,0,11
41,144,144,0,0,11
42,144,144,0,0,11
43,144,144,0,0,11
44,145,145,0,0,10
45,144,144,0,0,10
46,144,144,0,0,9
47,145,145,0,0,11
48,147,147,0,0,9
49,148,148,0,0,8
50,151,151,0,0,11
51,152,152,0,0,10
52,151,151,0,0,16
53,152,152,0,0,15
54,152,152,0,0,16
55,149,149,0,0,16
56,148,148,0,0,16
57,150,150,0,0,16
58,151,151,0,0,16
59,151,151,0,0,16
60,152,152,0,0,16
61,153,153,0,0,15
62,154,154,0,0,16
63,154,154,0,0,14
64,157,157,0,0,14
65,156,156,0,0,16
66,156,156,0,0,15
67,157,157,0,0,15
68,161,161,0,0,15
69,162,162,0,0,15
70,162,162,0,0,16
71,163,163,0,0,15
72,164,164,0,0,16
73,167,167,0,0,16
74,169,169,0,0,16
75,170,170,0,0,15
76,170,170,0,0,15
77,170,170,0,0,15
78,172,172,0,0,14
79,173,173,0,0,15
80,175,175,0,0,15
81,174,174,0,0,15
82,173,173,0,0,15
83,175,175,0,0,14
84,176,176,0,0,15
85,177,177,0,0,15
86,177,177,0,0,15
87,178,178,0,0,15
88,178,178,0,0,14
89,178,178,0,0,14
90,179,179,0,0,15
91,180,180,0,0,15
92,181,181,0,0,15
93,181,181,0,0,15
94,182,182,0,0,15
95,181,181,0,0,13
96,186,186,0,0,14
97,186,186,0,0,14
98,186,186,0,0,13
99,190,190,0,0,14
100,191,191,0,0,13
101,193,193,0,0,14
102,196,196,0,0,13
103,197,197,0,0,14
104,198,198,0,0,14
105,200,200,0,0,13
106,201,201,0,0,13
107,203,203,0,0,13
108,207,207,0,0,13
109,209,209,0,0,13
110,211,211,0,0,13
111,211,211,0,0,13
112,212,212,0,0,13
113,212,212,0,0,13
114,212,212,0,0,12
115,213,213,0,0,13
116,215,215,0,0,13
117,215,215,0,0,12
118,216,216,0,0,13
119,216,216,0,0,12
120,217,217,0,0,12
121,219,219,0,0,12
122,220,220,0,0,11
123,219,219,0,0,12
124,218,218,0,0,12
125,219,219,0,0,12
126,222,222,0,0,12
127,225,225,0,0,12
128,225,225,0,0,12
129,225,225,0,0,12
130,228,228,0,0,11
131,230,230,0,0,11
132,230,230,0,0,11
