Time,SumPopulation,HerbPopulation,CarnPopulation,OmniPopulation,FPS
0,50,50,0,0,52
1,50,50,0,0,59
2,50,50,0,0,38
3,50,50,0,0,59
4,50,50,0,0,60
5,50,50,0,0,56
6,50,50,0,0,55
7,51,51,0,0,58
8,51,51,0,0,58
9,52,52,0,0,61
10,53,53,0,0,61
11,55,55,0,0,57
12,56,56,0,0,62
13,58,58,0,0,56
14,58,58,0,0,67
15,60,60,0,0,75
16,64,64,0,0,66
17,65,65,0,0,60
18,65,65,0,0,53
19,65,65,0,0,51
20,67,67,0,0,48
21,67,67,0,0,54
22,69,69,0,0,47
23,69,69,0,0,43
24,69,69,0,0,52
25,69,69,0,0,45
26,70,70,0,0,49
27,70,70,0,0,53
28,70,70,0,0,53
29,70,70,0,0,19
30,70,70,0,0,43
31,70,70,0,0,44
32,71,71,0,0,48
33,72,72,0,0,44
34,71,71,0,0,49
35,71,71,0,0,49
36,71,71,0,0,53
37,71,71,0,0,62
38,69,69,0,0,65
39,66,66,0,0,59
40,65,65,0,0,43
41,65,65,0,0,49
42,63,63,0,0,45
43,62,62,0,0,54
44,63,63,0,0,33
45,62,62,0,0,50
46,59,59,0,0,53
47,60,60,0,0,53
48,61,61,0,0,56
49,61,61,0,0,53
50,61,61,0,0,61
51,59,59,0,0,55
52,58,58,0,0,55
53,58,58,0,0,58
54,56,56,0,0,23
55,56,56,0,0,52
56,56,56,0,0,56
57,57,57,0,0,54
58,56,56,0,0,61
59,55,55,0,0,60
60,56,56,0,0,56
61,57,57,0,0,54
62,57,57,0,0,49
63,57,57,0,0,69
64,57,57,0,0,76
65,57,57,0,0,48
66,56,56,0,0,51
67,56,56,0,0,59
68,55,55,0,0,20
69,53,53,0,0,64
70,52,52,0,0,63
71,50,50,0,0,66
72,51,51,0,0,67
73,52,52,0,0,81
74,52,52,0,0,49
75,51,51,0,0,68
76,51,51,0,0,68
77,50,50,0,0,50
78,49,49,0,0,63
79,48,48,0,0,68
80,47,47,0,0,67
81,47,47,0,0,68
82,47,47,0,0,70
83,46,46,0,0,74
84,46,46,0,0,68
85,46,46,0,0,62
86,45,45,0,0,68
87,46,46,0,0,69
88,47,47,0,0,68
89,47,47,0,0,71
90,48,48,0,0,69
91,49,49,0,0,67
92,49,49,0,0,62
93,50,50,0,0,60
94,51,51,0,0,63
95,51,51,0,0,67
96,51,51,0,0,64
97,52,52,0,0,69
98,51,51,0,0,71
99,51,51,0,0,66
100,51,51,0,0,64
101,52,52,0,0,61
102,53,53,0,0,65
103,53,53,0,0,61
104,52,52,0,0,62
105,52,52,0,0,63
106,53,53,0,0,62
107,53,53,0,0,63
108,53,53,0,0,62
109,52,52,0,0,67
110,53,53,0,0,62
111,53,53,0,0,62
112,53,53,0,0,68
113,53,53,0,0,56
114,53,53,0,0,60
115,53,53,0,0,10
116,53,53,0,0,57
117,53,53,0,0,51
118,53,53,0,0,53
119,53,53,0,0,54
120,53,53,0,0,56
121,53,53,0,0,53
122,53,53,0,0,60
123,54,54,0,0,56
124,54,54,0,0,52
125,54,54,0,0,71
126,56,56,0,0,59
127,56,56,0,0,24
128,56,56,0,0,34
129,57,57,0,0,47
130,59,59,0,0,45
131,60,60,0,0,56
132,60,60,0,0,70
133,60,60,0,0,58
134,60,60,0,0,66
135,59,59,0,0,61
136,59,59,0,0,58
137,60,60,0,0,52
138,59,59,0,0,57
139,59,59,0,0,60
140,58,58,0,0,55
141,58,58,0,0,59
142,58,58,0,0,53
143,57,57,0,0,67
144,57,57,0,0,67
145,58,58,0,0,59
146,58,58,0,0,57
147,58,58,0,0,60
148,58,58,0,0,58
149,57,57,0,0,57
150,56,56,0,0,60
