Time,SumPopulation,Z?l?d?ji,Pl?s?ji,Vis?d?ji,FPS
0,60,20,20,20,43
1,60,20,20,20,41
2,60,20,20,20,42
3,60,20,20,20,42
4,60,20,20,20,40
5,60,20,20,20,40
6,60,20,20,20,40
7,60,20,20,20,42
8,62,21,21,20,37
9,63,22,21,20,31
10,64,22,22,20,36
11,67,24,23,20,32
12,67,24,23,20,37
13,69,24,24,21,33
14,71,24,25,22,31
15,73,24,25,24,32
16,74,24,26,24,33
17,74,24,26,24,32
18,74,24,26,24,30
19,76,24,26,26,26
20,76,24,26,26,29
21,76,24,26,26,30
22,76,24,26,26,31
23,77,25,26,26,31
24,78,26,26,26,34
25,79,26,27,26,33
26,79,26,27,26,28
27,79,26,27,26,31
28,79,26,27,26,28
29,79,26,27,26,29
30,80,27,27,26,29
31,81,27,27,27,30
32,81,27,27,27,29
33,80,26,27,27,20
34,81,27,27,27,30
35,80,26,27,27,26
36,80,26,27,27,29
37,80,26,27,27,28
38,80,26,27,27,29
39,79,25,27,27,30
40,78,24,27,27,29
41,77,23,27,27,28
42,77,23,27,27,31
43,77,23,27,27,33
44,76,22,27,27,29
45,78,23,28,27,29
46,79,23,29,27,27
47,77,21,29,27,26
48,77,21,29,27,15
49,77,21,29,27,30
50,78,21,30,27,27
51,79,20,31,28,32
52,78,19,31,28,21
53,80,19,31,30,27
54,82,20,32,30,28
55,82,20,32,30,29
56,82,19,33,30,27
57,82,19,33,30,28
58,80,17,33,30,29
59,81,17,34,30,27
60,81,17,34,30,26
61,81,17,34,30,28
62,81,17,34,30,28
63,83,19,34,30,25
64,83,19,34,30,28
65,82,18,34,30,27
66,81,17,34,30,29
67,79,15,34,30,28
68,78,15,34,29,27
69,78,15,34,29,28
70,78,15,34,29,30
71,77,14,34,29,28
72,78,14,34,30,29
73,77,13,34,30,30
74,78,13,35,30,31
75,78,13,35,30,26
76,78,13,35,30,28
77,78,13,35,30,28
78,78,13,35,30,28
79,77,12,35,30,27
80,77,12,35,30,30
81,77,12,35,30,29
82,79,12,36,31,28
83,78,11,36,31,25
84,80,11,37,32,26
85,82,11,39,32,27
86,83,11,40,32,25
87,84,11,41,32,27
88,85,11,42,32,27
89,86,12,42,32,29
90,86,12,42,32,27
91,85,11,42,32,29
92,86,11,42,33,28
93,86,10,42,34,18
94,84,10,42,32,25
95,83,9,42,32,25
96,81,7,42,32,24
97,80,6,42,32,26
98,81,6,42,33,27
99,79,6,40,33,29
100,78,5,40,33,22
101,77,4,40,33,27
102,78,4,40,34,28
103,78,4,40,34,28
104,78,4,40,34,27
105,78,4,40,34,28
106,78,4,40,34,27
107,78,4,40,34,28
108,77,3,40,34,22
109,75,3,38,34,29
110,75,3,38,34,32
111,74,2,37,35,28
112,74,2,37,35,32
113,74,2,37,35,31
114,73,2,37,34,32
115,73,2,37,34,30
116,74,2,37,35,32
117,74,1,37,36,30
118,74,1,37,36,30
119,74,1,37,36,29
120,74,1,37,36,31
121,75,1,37,37,30
122,74,0,37,37,29
123,74,0,37,37,30
124,74,0,37,37,28
125,74,0,37,37,29
126,76,0,39,37,27
127,77,0,39,38,30
128,77,0,39,38,30
129,77,0,39,38,31
130,78,0,39,39,25
131,78,0,39,39,26
132,78,0,39,39,28
133,78,0,39,39,27
134,79,0,39,40,30
135,79,0,39,40,27
136,78,0,38,40,27
137,76,0,36,40,25
138,77,0,37,40,28
139,79,0,37,42,27
140,79,0,37,42,25
141,79,0,37,42,26
142,79,0,37,42,27
143,79,0,37,42,26
144,79,0,37,42,23
145,78,0,36,42,29
146,78,0,36,42,31
147,78,0,36,42,30
148,77,0,35,42,26
149,77,0,35,42,28
150,77,0,34,43,24
151,77,0,34,43,27
152,77,0,34,43,28
153,76,0,33,43,27
154,76,0,33,43,27
155,77,0,33,44,25
156,76,0,32,44,26
157,76,0,32,44,27
158,76,0,32,44,26
159,75,0,32,43,26
160,75,0,32,43,27
161,75,0,32,43,26
162,75,0,32,43,28
163,75,0,31,44,26
164,75,0,31,44,25
165,76,0,31,45,26
166,77,0,31,46,26
167,76,0,31,45,26
168,75,0,30,45,25
169,74,0,30,44,26
170,73,0,29,44,27
171,73,0,29,44,25
172,73,0,28,45,26
173,74,0,28,46,26
174,75,0,28,47,26
175,75,0,27,48,27
176,74,0,26,48,25
177,74,0,25,49,25
178,73,0,24,49,25
179,73,0,24,49,27
180,74,0,24,50,28
181,72,0,22,50,27
182,72,0,22,50,15
183,72,0,21,51,25
184,71,0,20,51,26
185,70,0,19,51,28
186,70,0,19,51,28
187,69,0,18,51,26
188,69,0,18,51,26
189,70,0,18,52,26
190,69,0,17,52,25
191,68,0,16,52,23
192,68,0,16,52,27
193,67,0,15,52,23
194,67,0,15,52,27
195,66,0,14,52,24
196,67,0,14,53,24
197,67,0,14,53,26
198,67,0,14,53,26
199,66,0,13,53,26
200,67,0,13,54,27
201,68,0,13,55,25
202,68,0,13,55,27
203,69,0,13,56,28
204,69,0,13,56,26
205,68,0,12,56,27
206,68,0,12,56,26
207,69,0,12,57,28
208,69,0,12,57,28
209,69,0,12,57,28
210,69,0,12,57,28
211,70,0,12,58,27
